"x"
"Singh2023239"
"de Alcântara2020420"
"Luo2024"
"Falkowski2023"
"Singh2018"
"Slaton2019461"
"Long2023"
"Victor2024"
"Sinta20224705"
"Bélisle20221513"
"Lavery2023"
"Adom2020"
"Lindenmayer2024"
"Bellows2023"
"Bobiec2021"
"Connor20221874"
"Mondal202377"
"Muluneh2021"
"Georgiadis2022382"
"Pérez Sánchez2019159"
"Das2023275"
"Serra2021275"
"Meetei202389"
"Falkowski2020747"
"Varga2020"
"Moyo2023107"
"Biasi2024"
"Zerbe2020326"
"Zhang2020"
"Fernandes2020213"
"Bobsin2023"
"Kala2022"
"van Gevelt2019"
"Rendón-Sandoval2021"
"Steger20231217"
"Alves2022"
"Bauer2022269"
"Viñals2023"
"Stevens20202461"
"Marks-Block2019"
"Tregidgo2020505"
"Mockta2018250"
"Héger2023"
"Das202358"
"Falkowski20192121"
"Fisher20211266"
"Afentina2020639"
"Waldhoff20191748"
"Gomes2019308"
"Falkowski20201242"
"Orofino20182773"
"Schmitz2021"
"Tavares2020268"
"Guzmán Luna2024241"
"Johnson20211"
"Carson2018431"
"Bauer2022"
"Falkowski2019389"
"Kim2019"
"Ibarra2020391"
"Kiage2019"
"Ekblom2019"
"O'gorman2022"
"Matos2021"
"Nasr-Azadani20232605"
"Fulekar20231"
"Zhang2023116"
"Mehta2023"
"Axelsson2021"
"Frediani2024132"
"Klimaszewski-Patterson2024"
"Souther2021"
"Yang2023"
"Woodall2023"
"Wani2018302"
"Sheppard2024"
"Arenas-Wong2023"
"Molnár20242182"
"Pieroni2024"
"Mani2024"
"Israel20201"
"Fitzpatrick2021"
"Hart-Fredeluces20211133"
"Bayrak2020242"
"Stryamets2023363"
"Bhatt2024"
"Steele201938"
"Reang2022"
"Chamberlain2019"
"Galvão2024"
"Wyllie de Echeverria20191447"
"Amelia20181722"
"Tagliari2023"
"Hanisch2019"
"Elfis2024"
"Gretter20181117"
"Hobbs20142923"
"van Holt2012"
"Seijo2015130"
"Laumonier2008"
"Diemont20111696"
"Thomson2000155"
"Choo2009113"
"Parsons2003779"
"Chen2017299"
"Couly2013543"
"Depommier200363"
"Laituri1996122"
"Kumar2008299"
"LaRochelle2003361"
"Stave20071471"
"Lins Neto2014"
"Yirdaw2017"
"Elias20171"
"Charnley200714"
"Plieninger201570"
"Long2017426"
"Tattoni201727"
"Kim2015249"
"Souza2017169"
"Voggesser2014107"
"Singh2015187"
"Sutherland2016123"
"Shanley200855"
"Tamou2018831"
"Seijo2017205"
"Diemont2009254"
"Baird2005439"
"Pohle2010163"
"Greskiw20081935"
"Polfus2014112"
"Indrawan201477"
"Dumbe2018"
"Pandey2007455"
"Pandey2002367"
"Monroy-Ortiz201313"
"Chesworth201129"
"Pandey2002367:1"
"Hawthorne2014654"
"Chettri201589"
"Garcia20081303"
"Henck2010201"
"Kim2017"
"Sileshi2009"
"Lepofsky2008129"
"Valipour2014221"
"Fernández-Giménez2012143"
"Nesheim200699"
"Hajjar2015132"
"McGregor2002833"
"Ramakrishnan200343"
"Ticktin2002177"
"Falkowski2016210"
"Olivero20161661"
"Falkowski201540"
"Chamley2008"
"Voggesser2013615"
"Ray2012"
"Kruger2005235"
"Mbata2002115"
"Gupta2009129"
"Bruegger2014119"
"Wekesa2010240"
"Halme20071785"
"Parlee200526"
"Rockwell2007365"
"Casagrande2004189"
"Seijo20181405"
"Douterlungne2010322"
"Olsson2013309"
"Rist2010"
"Agbani2018"
"Lertzman2005239"
"Mulyoutami20092054"
"De Freitas2015"
"Boissière2013"
"Hankins20131"
"Hall2009241"
"Parlee2012"
"Guèze2015251"
"Rai2012113"
"Rao200393"
